#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
6246,Lipani,,Sassuolo,21,C,M/C,0,0,0,3,2,,
6219,Boloca,,Sassuolo,28,C,M/C,0,0,0,3,2,,
5880,Ciurria,,Monza,31,C,E/W,0,0,0,3,2,,
7548,Aurelio,,Cagliari,26,D,Ds/E,0,0,0,3,2,,
7540,Akpoguma,,Frosinone,31,D,Dc,0,0,0,3,3,,
7483,Alhassane,,Bologna,24,D,Ds/E,0,0,0,3,2,,
7182,Ndaba,,Lecce,27,D,Ds/E,1,6,6,3,1,,
6977,Otoa,,Genoa,22,D,Dc,1,4.5,5,3,2,,
6896,Van Der Brempt,,Como,24,D,Dd/E,0,0,0,3,2,,
6890,Moreno M.,,Venezia,23,D,Dc,0,0,0,3,5,,
5994,Ebosse,,Udinese,27,D,Ds/Dc,1,6,6,3,2,,
5498,Casale,,Bologna,28,D,Dc,0,0,0,3,3,,
2263,Lazzari,,Lazio,33,D,Dd/E,0,0,0,3,2,,
791,Sabelli,,Genoa,33,D,Dd/Ds/E,0,0,0,3,2,,
252,Biraghi,,Torino,34,D,B/Ds/E,0,0,0,3,2,,
2814,Provedel,,Inter,32,P,Por,0,0,0,3,2,,
218,Perin,,Juventus,34,P,Por,0,0,0,3,6,,
7249,Buksa,*,Udinese,30,A,Pc,0,0,0,2,2,,
7161,Bayo V.,,Udinese,29,A,Pc,1,5,5,2,1,,
6981,Vaz,,Roma,19,A,Pc,0,0,0,2,1,,
7392,Camara A.,*,Udinese,18,C,M/C,0,0,0,2,1,,
7276,Cremaschi,,Parma,21,C,E/C,0,0,0,2,1,,
6980,Venturino,,Genoa,20,C,W,0,0,0,2,2,,
6889,Anjorin,,Torino,25,C,C/T,0,0,0,2,1,,
6212,Zarraga,,Udinese,27,C,M/C,0,0,0,2,1,,
6191,Belahyane,,Lazio,22,C,M/C,0,0,0,2,1,,
